,Date,Team,Acquired,Relinquished,Notes
2621,1997-10-30,Blazers,, Dontonio Wingfield,placed on IR with knee inflammation
2622,1997-10-30,Blazers,, Gary Trent,placed on IL with sore left shin
2623,1997-10-30,Bulls,, Keith Booth,placed on IL
2624,1997-10-30,Bulls,, Scottie Pippen (Sr.),placed on IR with left foot surgery
2625,1997-10-30,Cavaliers,, Greg Graham,placed on IL with strained right groin
2626,1997-10-30,Cavaliers,, Tony Dumas,placed on IR with right knee injury / surgery on right knee
2627,1997-10-30,Celtics,, Greg Minor,placed on IR with left metatasalgia injury
2628,1997-10-30,Celtics,, Roy Rogers,placed on IR with right knee injury
2629,1997-10-30,Celtics,, Tyus Edney,placed on IR with left ankle spain
2630,1997-10-30,Clippers,, James Collins,placed on IL with strained lower back
2631,1997-10-30,Grizzlies,, Chris Robinson,placed on IR with bone chip in right ankle
2632,1997-10-30,Grizzlies,, Doug Edwards,placed on IL with strained left hip flexor
2633,1997-10-30,Grizzlies,, Marcus Brown,placed on IR with injured right shoulder (sore left shoulder per P)
2634,1997-10-30,Hawks,, Eldridge Recasner,placed on IL with acute viral infection
2635,1997-10-30,Heat,, Alonzo Mourning,placed on IL recovering from surgery on knee
2636,1997-10-30,Heat,, Charles Smith (Cornelius),placed on IR with periostitis of right tibia
2637,1997-10-30,Heat,, Malcolm Huckaby,placed on IL with left ankle tendinitis
2638,1997-10-30,Hornets,, Travis Williams,placed on IL
2639,1997-10-30,Jazz,, John Stockton,placed on IL recovering from arthroscopic surgery on left knee
2640,1997-10-30,Kings,, Kevin Gamble,placed on IL with lower back spasms
2641,1997-10-30,Kings,, Kevin Salvadori,placed on IL with sprained left ankle
2642,1997-10-30,Kings,, Olivier Saint-Jean / Tariq Abdul-Wahad,placed on IL with strained right calf muscle
2643,1997-10-30,Knicks,, Ron Grandison / Ronnie Grandison,placed on IL with sprained left ankle
2644,1997-10-30,Lakers,, Shea Seals,placed on IL with back spasms
2645,1997-10-30,Magic,, Jason Lawson,placed on IR with pulled groin
2646,1997-10-30,Magic,, Johnny Taylor,placed on IL with sprained right shoulder
2647,1997-10-30,Magic,, Tim Kempton,placed on IL with strained lower back
2648,1997-10-30,Mavericks,, Ace Custis,placed on IL with surgery on knee to repair torn ACL (out for season)
2649,1997-10-30,Mavericks,, Martin Muursepp,placed on IL with sprained ankle
2650,1997-10-30,Mavericks,, Robert Pack,placed on IR with fractured finger on right hand (out 2-4 weeks)
2651,1997-10-30,Nuggets,, LaPhonso Ellis,placed on IR recovering from Achilles surgery
2652,1997-10-30,Nuggets,, Steve Scheffler,placed on IR with foot surgery
2653,1997-10-30,Pistons,, Charles O'Bannon,placed on IL with back spasms
2654,1997-10-30,Pistons,, Rumeal Robinson,placed on IL with patellar tendinitis in right knee
2655,1997-10-30,Raptors,, Ed Stokes,placed on IL with right Achilles tendinitis
2656,1997-10-30,Raptors,, John Long,placed on IR with fractured jaw
2657,1997-10-30,Raptors,, Sharone Wright,placed on IR with injuries to left arm and collarbone from auto accident
2658,1997-10-30,Rockets,, Joe Stephens,placed on IR with stress reaction in right foot
2659,1997-10-30,Rockets,, Serge Zwikker,placed on IR with chronic pain in lower right leg
2660,1997-10-30,Sonics,, James Cotton,placed on IL with sprained right knee
2661,1997-10-30,Sonics,, Nate McMillan,placed on IL recovering from surgery on right knee to repair partially torn meniscus
2662,1997-10-30,Sonics,, Stephen Howard,placed on IR with stress fracture in right foot
2663,1997-10-30,Spurs,, Charles Smith (Daniel),placed on IR with osteoarthritis in right knee
2664,1997-10-30,Spurs,, Chuck Person,placed on IL with sore lower back
2665,1997-10-30,Suns,, Loren Meyer,placed on IR with lumbar spine surgery
2666,1997-10-30,Suns,, Tom Chambers,placed on IL with strained lower back
2667,1997-10-30,Timberwolves,, Bill Curley,placed on IR with thigh injury
2668,1997-10-30,Timberwolves,, Micheal Williams,placed on IL with hamstring injury
2669,1997-10-30,Timberwolves,, Paul Grant,placed on IR with sprained right midfoot
2670,1997-10-30,Warriors,, Brian Shaw,placed on IL with left Achilles tendinitis
2671,1997-10-30,Warriors,, David Vaughn (III),placed on IL with right knee tendinitis
2672,1997-10-30,Warriors,, Marcus Mann,placed on IL with strained lower back
2673,1997-11-01,Pistons,, Joe Dumars,placed on IR with pulled left hamstring
2674,1997-11-05,Spurs,, Vinny Del Negro,placed on IL with sprained right ankle
2675,1997-11-08,Bulls,, Bill Wennington,placed on IR with bone spurs in right elbow
2677,1997-11-08,Celtics,, Dontae' Jones,placed on IR with left groin strain
2678,1997-11-08,Celtics,, John Thomas,placed on IR with bruised left biceps
2683,1997-11-09,Warriors,, Dickey Simpkins,placed on IR with strained right pectoralis muscle / bruised left bicep
2685,1997-11-10,Kings,, Bobby Hurley,placed on IR with abductor strain in left leg
2686,1997-11-10,Kings,, Michael Smith (John) (Providence),placed on IL with fractured right wrist
2689,1997-11-10,Pistons,, Joe Dumars,placed on IL with strained left shoulder
2691,1997-11-11,Heat,, Dan Majerle,placed on IR with stiff lower back
2693,1997-11-12,Magic,, Danny Schayes,placed on IL with strained lower back
2695,1997-11-12,Nuggets,, Eric Williams,placed on IL with torn ACL in right knee (out for season)
2697,1997-11-12,Raptors,, Carlos Rogers,placed on IL with strained lower back
2700,1997-11-13,Nets,, Lucious Harris,placed on IL with broken right ring finger (out 6-8 weeks)
2704,1997-11-14,Bulls,, Steve Kerr,placed on IL with bone bruise in left knee
2705,1997-11-15,Grizzlies,, Anthony Peeler,placed on IR with right knee injury
2708,1997-11-18,Warriors,, Duane Ferrell,placed on IL with strained left groin
2710,1997-11-19,Blazers,, Sean Higgins,placed on IR with severe ankle sprain
2711,1997-11-19,Blazers,, Vincent Askew,placed on IL with sprained left ankle
2713,1997-11-19,Cavaliers,, Bob Sura,placed on IL with sprained left ankle
2715,1997-11-19,Celtics,, Bruce Bowen,placed on IR with boken nose
2720,1997-11-20,Pacers,, Etdrick Bohannon,placed on IL with upper respiratory infection
2722,1997-11-20,Suns,, Horacio Llamas,placed on IL with strained lower back
2723,1997-11-21,76ers,, Derrick Coleman,placed on IL with irregular heartbeat
2725,1997-11-21,Bulls,, Keith Booth,placed on IL with strained lower back
2729,1997-11-22,Pistons,, Charles O'Bannon,placed on IL with back spasms
2731,1997-11-24,Mavericks,, Kurt Thomas,placed on IR with fractured right ankle
2733,1997-11-24,Nuggets,, Bryant Stith,placed on IL with left foot tendinitis
2734,1997-11-25,Rockets,, Hakeem Olajuwon,placed on IR with left knee surgery
2735,1997-11-26,Hawks,, Steve Smith (Delano),family emergency (DNP)
2736,1997-11-26,Raptors,, Tracy McGrady,placed on IR with sore left arch
2737,1997-11-26,Raptors,, Zan Tabak,placed on IR with injured back / sprained right ankle & hyperextended left knee (P) (date 11-27 per P)
2739,1997-11-26,Spurs,, Carl Herrera,placed on IR with partiallly torn teres muscle in left shoulder
2741,1997-11-28,Blazers,, Dontonio Wingfield,placed on IR with injured right hand / left hand tendinitis (P)
2743,1997-11-28,Bullets,, God Shammgod,placed on IL with sprained left knee / left knee tendinitis (P)
2744,1997-11-28,Magic,, Horace Grant,placed on IL with strained left calf
2746,1997-11-29,Celtics,, John Thomas,placed on IR with bruised left biceps
2748,1997-12-02,Blazers,, John Crotty,placed on IR with sore right right knee
2749,1997-12-02,Sonics,, Jerome Kersey,placed on IR with left foot stress fracture
2751,1997-12-03,Bucks,, Jeff Nordgaard,placed on IR with torn right adductor (groin) muscle
2752,1997-12-03,Nuggets,, Bryant Stith,placed on IL with surgery on left foot (out 3 months)
2754,1997-12-04,Clippers,, Loy Vaught,placed on IR with injured lower back (surgery)
2756,1997-12-05,Grizzlies,, Anthony Peeler,placed on IL with chondromalacia in left knee
2758,1997-12-05,Nets,, Jack Haley,placed on IL with right ankle / knee (P) tendinitis
2760,1997-12-06,Magic,, Derek Strong,placed on IL with sprained left knee
2762,1997-12-06,Pistons,, Rick Mahorn,placed on IR with right foot tendinitis
2763,1997-12-07,76ers,, Tom Chambers,placed on IL with strained lower back
2766,1997-12-07,Raptors,, Ronald Jones / Popeye Jones,placed on IL with torn ACL in left knee
2768,1997-12-08,Jazz,, Troy Hudson,placed on IL with sprained right wrist
2770,1997-12-08,Magic,, Anfernee Hardaway / Penny Hardaway,placed on IL with left knee tendinitis
2771,1997-12-08,Raptors,, Carlos Rogers,placed on IR with strained back
2773,1997-12-09,Bulls,, Rusty LaRue,placed on IR with sore left toe / bone bruise in left knee (P)
2775,1997-12-09,Hawks,, Anthony Miller / Pig Miller,placed on IR with strained back
2776,1997-12-09,Hawks,, Eldridge Recasner,DNP strained back
2777,1997-12-10,Celtics,, Dee Brown (a),placed on IL with flu
2779,1997-12-10,Magic,, Nick Anderson,placed on IR with broken bone in left hand (out 3-4 weeks)
2781,1997-12-10,Pistons,, Rick Mahorn,placed on IR (P)
2783,1997-12-11,Suns,, Kevin Johnson,placed on IL with right knee tendinitis
2784,1997-12-12,Hawks,, Eldridge Recasner,flu (DTD)
2786,1997-12-13,Bucks,, Terrell Brandon,placed on IR with severly sprained left ankle
2787,1997-12-13,Celtics,, Travis Knight,placed on IL with sprained left ankle
2789,1997-12-13,Spurs,, Reggie Geary,placed on IL with left knee tendinitis
2791,1997-12-15,Blazers,, Vincent Askew,placed on IL with sprained right ankle
2793,1997-12-15,Nuggets,, George Zidek,placed on IL with sprained left foot
2794,1997-12-16,Mavericks,, Erick Strickland,placed on IL with sprained right ankle
2796,1997-12-16,Rockets,, Rodrick Rhodes,placed on IL with strained left knee
2797,1997-12-17,76ers,, Anthony Parker,placed on IL with sprained MCL in left knee
2798,1997-12-17,Heat,, Charles Smith (Cornelius),placed on IR with ankle injury / sore leg (P)
2800,1997-12-17,Nets,, Chris Gatling,placed on IR with stress fracture in right leg
2802,1997-12-17,Warriors,, David Vaughn (III),placed on IL with right knee tendinitis
2806,1997-12-19,Pacers,, Mark West (Andre),placed on IR with left knee surgery
2808,1997-12-20,Celtics,, Dontae' Jones,placed on IR with left groin injury
2809,1997-12-20,Celtics,, Pervis Ellison,placed on IL with left knee tendinitis
2810,1997-12-20,Kings,, Lawrence Funderburke,placed on IL with strained right rotator cuff
2811,1997-12-20,Rockets,, Rodrick Rhodes,placed on IL with strained left knee (P)
2813,1997-12-21,Blazers,, Jermaine O'Neal,placed on IL with strained left calf muscle
2815,1997-12-21,Bullets,, God Shammgod,placed on IL
2818,1997-12-22,Knicks,, Patrick Ewing (Sr.),placed on IR with dislocated right wrist
2820,1997-12-23,Timberwolves,, DeJuan Wheat,placed on IL
2822,1997-12-26,Celtics,, John Thomas,placed on IR with left groin strain
2824,1997-12-26,Pacers,, Mark Pope,placed on IL with sprained left knee
2826,1997-12-27,76ers,, Scott Williams,placed on IR with bronchitis
2828,1997-12-27,Blazers,, Alton Lister,placed on IR with shoulder injury
2831,1997-12-29,Spurs,, Vinny Del Negro,placed on IR with strained right tricep tendon
2832,1997-12-30,76ers,, Doug Overton,placed on IL with left ankle tendinitis
2834,1997-12-30,Bucks,, Jerald Honeycutt,placed on IL with sprained right foot
2836,1997-12-30,Pistons,, Lindsey Hunter,placed on IR with torn right calf muscle
2838,1998-01-01,Celtics,, Greg Minor,placed on IL with flu
2839,1998-01-01,Sonics,, James Cotton,placed on IL with right knee patella tendinitis
2840,1998-01-02,Blazers,, Dontonio Wingfield,placed on IR with left wrist tendinitis
2843,1998-01-02,Bullets,, Lorenzo Williams,placed on IL with flu / sore knees (P)
2845,1998-01-02,Cavaliers,, Mitchell Butler,placed on IL with herniated disc in neck
2848,1998-01-02,Mavericks,, Chris Anstey,placed on IL with sprained left ankle
2850,1998-01-02,Rockets,, Joe Stephens,placed on IL with patella tendinitis
2854,1998-01-06,Celtics,, Tyus Edney,placed on IL with flu
2857,1998-01-07,Blazers,, Brian Grant,placed on IR with left leg stress reaction
2860,1998-01-07,Warriors,, Tyrone Bogues / Muggsy Bogues,placed in IR with small tear in right hamstring
2862,1998-01-08,Nets,, Yinka Dare,placed on IR with right ankle synovitis
2863,1998-01-09,Hawks,, Daron Blaylock / Mookie Blaylock,placed on IR with reoccurring left groin strain
2864,1998-01-09,Hawks,, Ed Gray,placed on IL with sprained right foot
2865,1998-01-10,Bulls,, Bill Wennington,placed on IL with elbow synovitis
2867,1998-01-10,Celtics,, Pervis Ellison,placed on IL with sprained right ankle
2869,1998-01-10,Rockets,, Clyde Drexler,placed on IL with sore right shoulder
2871,1998-01-12,Raptors,, Walt Williams,placed on IL with hyperextended left knee
2875,1998-01-13,76ers,, Kebu Stewart,placed on IR with plantar fasciitis in right foot
2877,1998-01-13,Magic,, Johnny Taylor,placed on IL with strained right shoulder
2879,1998-01-13,Spurs,, Malik Rose,placed on IL with left knee tendinitis
2881,1998-01-14,Hornets,, Bobby Phills,placed on IR with pulled left groin
2882,1998-01-16,Bulls,, Steve Kerr,placed on IR with fractured left clavicle (out 6-8 weeks)
2884,1998-01-16,Hawks,, Randy Livingston,hamstring injury (DNP)
2885,1998-01-16,Hawks,, Tyrone Corbin,sore lower back (DTD)
2886,1998-01-16,Mavericks,, Bubba Wells,placed on IL with sprained right big toe
2887,1998-01-16,Pistons,, Scot Pollard,placed on IL with strained right groin
2889,1998-01-17,Sonics,, Eric Snow,placed on IL with sprained right ankle
2891,1998-01-18,Celtics,, Roy Rogers,placed on IL with flu
2894,1998-01-19,Hornets,, Dell Curry,placed on IL with strained right calf
2895,1998-01-19,Kings,, Kevin Salvadori,placed on IL with left knee tendinitis
2899,1998-01-21,Heat,, Mark Strickland,placed on IL with fractured right index finger
2900,1998-01-21,Hornets,, Vlade Divac,placed on IL with surgery on left knee (out indefinitely)
2901,1998-01-21,Rockets,, Joe Stephens,placed on IL with patella tendinitis
2903,1998-01-21,Spurs,, Sean Elliott,placed on IL with left knee tendinitis
2905,1998-01-22,Bulls,, Joe Kleine,placed on IL with left knee tendinitis
2906,1998-01-22,Magic,, Jason Lawson,placed on IL with strained groin
2907,1998-01-22,Pacers,, Etdrick Bohannon,placed on IR with strained abdomen & pulled groin
2912,1998-01-24,Raptors,, Chris Garner,placed on IL with right ankle tendinitis
2914,1998-01-26,Pistons,, Charles O'Bannon,placed on IL with strained lower back
2916,1998-01-27,Warriors,, Tyrone Bogues / Muggsy Bogues,placed on IL with strained right hamstring
2919,1998-01-29,Knicks,, Ron Grandison / Ronnie Grandison,placed on IL with left knee patellar tendinitis
2921,1998-01-29,Sonics,, Jerome Kersey,placed on IL with separated left shoulder
2924,1998-01-30,Heat,, Terry Mills,placed on IL with left knee inflammation
2926,1998-01-30,Mavericks,, Robert Pack,placed on IR with torn ligaments in right thumb
2928,1998-01-30,Suns,, Cedric Ceballos,placed on IL with strained right calf
2930,1998-01-30,Timberwolves,, Chris Carr (Dean),placed on IL with sprained left ankle
2932,1998-01-31,Bulls,, Rusty LaRue,placed on IL with left Achilles tendinitis
2934,1998-02-02,Cavaliers,, Derek Anderson,placed on IL with sprained MCL in right knee
2935,1998-02-02,Hawks,, Dikembe Mutombo,left game with bruised tailbone
2936,1998-02-02,Hornets,, Bobby Phills,placed on IL with strained left groin
2937,1998-02-02,Nuggets,, Harold Ellis,placed on IR with ankle injury / torn cartilage in right knee
2940,1998-02-03,Rockets,, Emanual Davis,placed on IL with left knee tendinitis
2942,1998-02-05,Raptors,, Zan Tabak,placed on IR with fractured right hand (out 4-6 weeks)
2943,1998-02-09,Bullets,, Tim Legler,placed on IR with pulled right hamstring
2944,1998-02-09,Warriors,, Brian Shaw,placed on IR with right groin strain
2945,1998-02-10,Hawks,, Eldridge Recasner,placed on IL with sprained right ankle
2946,1998-02-11,Hawks,, Eldridge Recasner,placed on IL with sprained right ankle
2947,1998-02-11,Mavericks,, Samaki Walker,placed on IL with stress fracture in right foot
2948,1998-02-12,Magic,, Darrell Armstrong,placed on IR with torn right rotator cuff (out for season)
2949,1998-02-12,Suns,, Horacio Llamas,placed on IL with bruised left heel
2951,1998-02-13,Blazers,, Alton Lister,placed on IL with left knee tendinitis
2953,1998-02-13,Bucks,, Terrell Brandon,placed on IL with sprained left ankle
2954,1998-02-13,Jazz,, Greg Ostertag,placed on IL with stress fracture in left leg (out 3-6 weeks)
2956,1998-02-15,Celtics,, John Thomas,placed on IL with strained right Achilles tendon
2958,1998-02-15,Pistons,, Steve Henson,placed on IR with right groin strain
2960,1998-02-15,Warriors,, Duane Ferrell,placed on IL with strained right calf
2962,1998-02-16,Magic,, Johnny Taylor,placed on IL with strained right shoulder
2963,1998-02-17,Sonics,, James Cotton,placed on IL with strained right calf
2967,1998-02-18,Grizzlies,, Ivano Newbill,placed on IL with right knee tendinitis
2969,1998-02-18,Raptors,, Alvin Williams,placed on IL with right knee surgery (out 2-3 weeks)
2970,1998-02-18,Raptors,, Chris Garner,placed on IL with right Achilles tendinitis
2973,1998-02-19,76ers,, Anthony Parker,placed on IL with sprained MCL in right knee
2974,1998-02-19,Clippers,, James Collins,placed on IL with strained lower back
2976,1998-02-19,Magic,, Mark Price,placed on IR with ligament damage in left thumb (out 2-4 weeks)
2979,1998-02-19,Pistons,, Grant Long,placed on IL with fractured right foot
2981,1998-02-20,Celtics,, Ronald Jones / Popeye Jones,placed on IR with torn left ACL (out for season)
2982,1998-02-20,Celtics,, Zan Tabak,placed on IR with fractured right hand (out 4-6 weeks)
2986,1998-02-20,Kings,, Mahmoud Abdul-Rauf / Chris Jackson,placed on IL with flu
2989,1998-02-20,Knicks,, Buck Williams,placed on IL with sore left knee
2991,1998-02-20,Nuggets,, Bobby Jackson,placed on IR with fractured right ring finger
2993,1998-02-20,Spurs,, Chuck Person,placed on IL with lower back pain
2996,1998-02-22,Heat,, Jamal Mashburn,placed on IR with fractured right thumb
2998,1998-02-24,Timberwolves,, Tom Gugliotta,placed on IR with surgery on ankle to remove bone spurs
3000,1998-02-25,Cavaliers,, Danny Ferry,placed on IL with right knee inflammation
3001,1998-02-25,Knicks,, Chris Dudley,placed on IL with fractured bone in right foot
3003,1998-02-27,Lakers,, Nick Van Exel,placed on IR with surgery on foot (out 3 weeks)
3005,1998-02-27,Pistons,, Eric Montross,placed on IR with lateral pain in right knee
3007,1998-02-28,Hornets,, Tony Farmer,placed on IL with left knee tendinitis
3010,1998-03-01,Grizzlies,, Doug West,placed on IL with bruised right hip
3014,1998-03-03,Clippers,, Lorenzen Wright,placed on IL with sprained left ankle
3016,1998-03-03,Rockets,, Charles Jones (b. 1957-04-03),placed on IL with strained lower back
3019,1998-03-04,Nuggets,, Priest Lauderdale,placed on IL with left patella tendinitis
3020,1998-03-04,Warriors,, Vernell Coles / Bimbo Coles,placed on IL with bone spurs in right foot
3021,1998-03-05,Blazers,, Vincent Askew,placed on IL with sore back
3023,1998-03-06,Nets,, Rony Seikaly,placed on IL with bone bruise in right foot
3024,1998-03-07,Bullets,, Tim Legler,placed on IR with injured right hamstring
3026,1998-03-07,Bulls,, Randy Brown,placed on IR with partially torn left Achilles tendon
3028,1998-03-08,Nets,, Jayson Williams,placed on IL with strained abdominal muscle
3029,1998-03-08,Raptors,, Gary Trent,placed on IL with strained left hip flexor
3031,1998-03-08,Sonics,, Stephen Howard,placed on IR with chronic patella tendinitis in right knee
3032,1998-03-09,76ers,, Derrick Coleman,placed on IL with sprained left ankle
3033,1998-03-09,76ers,, Scott Williams,placed on IL with strained right hip flexor
3034,1998-03-10,Bucks,, Glenn Robinson (Jr.),placed on IL with hyperextended left knee / bone compression in the tibial plateau
3036,1998-03-11,Hornets,, Donald Royal,placed on IR with inflammation in left ankle
3038,1998-03-12,Heat,, Keith Askins,placed on IR with torn lateral meniscus in left knee
3040,1998-03-12,Magic,, Anfernee Hardaway / Penny Hardaway,placed on IL with strained left calf muscle
3042,1998-03-13,Blazers,, Damon Stoudamire,placed on IL with sprained right ankle
3044,1998-03-13,Celtics,, Pervis Ellison,placed on IL with sprained right ankle
3046,1998-03-13,Clippers,, James Collins,placed on IL with strained lower back
3048,1998-03-13,Hawks,, Drew Barry,strained right ankle (DNP)
3049,1998-03-13,Sonics,, David Wingate,placed on IL with strained right hamstring
3052,1998-03-15,Lakers,, Shea Seals,placed on IL with back spasms
3055,1998-03-16,Blazers,, Carlos Rogers,placed on IL with sore right knee
3056,1998-03-16,Heat,, Antonio Lang,placed on IL with left knee tendinitis
3059,1998-03-16,Nuggets,, Harold Ellis,placed on IL with right knee patella tendinitis
3061,1998-03-16,Pacers,, Mark West (Andre),placed on IR with chronic chondromalacia in left knee
3064,1998-03-17,Bulls,, Luc Longley,placed on IL with sprained left knee
3067,1998-03-17,Timberwolves,, Chris Carr (Dean),placed on IL with sprained left ankle
3071,1998-03-19,Hornets,, Travis Williams,placed on IR with tendinitis in right ankle
3073,1998-03-19,Nets,, Don MacLean,placed on IL with tendinitis in both knees
3076,1998-03-23,76ers,, Kebu Stewart,placed on IL with left knee patella tendinitis
3078,1998-03-23,Raptors,, Sharone Wright,placed on IR with aggravated right shoulder injury
3080,1998-03-24,Cavaliers,, Henry James,placed on IR with diabetes mellitus
3083,1998-03-25,Celtics,, Bruce Bowen,placed in IR with stress reaction in left foot
3084,1998-03-26,Blazers,, Rick Brunson,placed on IL with bruised right shoulder
3087,1998-03-27,Grizzlies,, Sam Mack,placed on IR with fractured left ankle
3088,1998-03-27,Heat,, P.J. Brown,placed on IL with sprained left ankle
3091,1998-03-28,Bulls,, Joe Kleine,placed on IL with right knee tendinitis
3093,1998-03-29,Clippers,, Eric Piatkowski,placed on IL with strained abdominal muscle
3095,1998-03-29,Raptors,, Roy Rogers,placed on IL with right knee inflammation
3097,1998-03-30,Hawks,, Christian Laettner,sprained right ankle (DTD)
3098,1998-03-30,Spurs,, Chuck Person,placed on IL with lower back pain
3100,1998-04-02,76ers,, Brian Shaw,placed on IR with plantar fasciaitis of the right heel and an avulsion fracture of the right heel bone
3102,1998-04-03,Rockets,, Matt Bullard,placed on IR with strained Achilles tendon
3103,1998-04-03,Rockets,, Rodrick Rhodes,placed on IL with strained left shoulder
3106,1998-04-04,Bulls,, Toni Kukoc,placed on IR with inflamed tendon in right foot
3108,1998-04-07,Heat,, Antonio Lang,placed on IL with left knee tendinitis
3109,1998-04-07,Heat,, Rex Walters,placed on IL with tendinitis in both knees
3112,1998-04-07,Warriors,, Donyell Marshall,placed on IL with fractured rib
3113,1998-04-09,Bulls,, Luc Longley,placed on IL with bone bruise in left knee
3115,1998-04-09,Suns,, Danny Manning,placed on IL with torn ACL in right knee (out for season)
3117,1998-04-11,Knicks,, Ben Davis,placed on IL with left Achilles tendinitis
3119,1998-04-13,Pacers,, Austin Croshere,placed on IR with fractured left foot
3121,1998-04-14,Nuggets,, Joe Wolf,placed on IR with subluxation of right shoulder
3123,1998-04-14,Rockets,, Charles Barkley,placed on IL with strained left groin
3125,1998-04-15,Bulls,, Keith Booth,placed on IL with strained lower back
3128,1998-04-15,Nets,, Jayson Williams,placed on IR with fractured right thumb (out for season)
3129,1998-04-15,Spurs,, Willie Burton,placed on IR with acute right patellar tendinitis
3130,1998-04-16,Blazers,, John Crotty,placed on IL with right knee tendinitis
3132,1998-04-16,Magic,, Kevin Edwards,placed on IR with right elbow tendinitis
3134,1998-04-17,Heat,, Brent Barry,placed on IL with sprained right ankle
3135,1998-04-17,Heat,, Dan Majerle,placed on IL with strained left groin
3138,1998-04-17,Sonics,, Dale Ellis,placed on IL with strained abdominal muscle
3140,1998-04-18,Heat,, Tim Hardaway Sr.,placed on IL with right knee inflammation
3142,1998-04-18,Suns,, Rex Chapman,placed on IR with aggravated left hamstring
3143,1998-04-19,Nets,, Michael Cage,placed on IL with strained left hamstring
3145,1998-04-19,Rockets,, Brent Price,placed on IL with sore left knee
3208,1999-02-02,Kings,, Chris Robinson,placed on IL
3209,1999-02-02,Kings,, Ray Owes,placed on IL
3210,1999-02-03,76ers,, Darrin Hancock,placed on IL with bruised left thigh
3211,1999-02-03,Cavaliers,, Ryan Stack,placed on IR with fractured finger
3212,1999-02-03,Heat,, Terry Mills,placed on IL with sore left knee
3213,1999-02-03,Heat,, Voshon Lenard,placed on IR with left leg stress fracture (out 2 months)
3214,1999-02-03,Timberwolves,, Trevor Winter,placed on IL with left knee tendinitis
3215,1999-02-03,Wizards,, Evric Gray,placed on IL with concussion
3216,1999-02-03,Wizards,, Lorenzo Williams,placed on IR with stress fractures in both feet
3217,1999-02-04,Blazers,, Art Long,placed on IL with knee injury
3218,1999-02-04,Blazers,, Michael Hawkins,placed on IL
3219,1999-02-04,Blazers,, Nikita Morgunov,placed on IL
3220,1999-02-04,Bucks,, Donny Marshall,placed on IL
3221,1999-02-04,Bulls,, Charles Jones (Rahmel),placed on IR with tendinitis in left foot
3222,1999-02-04,Celtics,, Pervis Ellison,placed on IL
3223,1999-02-04,Clippers,, Brian Skinner,placed on IL with arthroscopic surgery on left knee
3224,1999-02-04,Clippers,, Scott Brooks,placed on IL with strained MCL in knee
3225,1999-02-04,Grizzlies,, Dan Muller,placed on IL
3226,1999-02-04,Grizzlies,, Lee Mayberry,placed on IL
3227,1999-02-04,Grizzlies,, Makhtar Ndiaye / Makhtar N'Diaye,placed on IL with knee injury
3228,1999-02-04,Hawks,, Scot Pollard,placed on IL
3229,1999-02-04,Heat,, Amal McCaskill,placed on IL with back injury
3230,1999-02-04,Hornets,, Anthony Mason (Sr.),placed on IR with ruptured right biceps tendon (out for season)
3231,1999-02-04,Hornets,, Glen Rice (Sr.),placed on IR with right elbow surgery
3232,1999-02-04,Magic,, Jonathan Kerner,placed on IL with strained lower back
3233,1999-02-04,Mavericks,, Ansu Sesay,placed on IL with fractured right foot (out for season)
3234,1999-02-04,Nuggets,, Kelly McCarty,placed on IL
3235,1999-02-04,Nuggets,, Mark Randall,placed on IL
3236,1999-02-04,Pacers,, Haywoode Workman,placed on IR with pulled groin
3237,1999-02-04,Pacers,, Mate Skelin,placed on IR with sprained knee
3238,1999-02-04,Pistons,, Christian Laettner,placed on IL with torn right Achilles tendon
3239,1999-02-04,Pistons,, Korleone Young,placed on IL with back spasms
3240,1999-02-04,Raptors,, Micheal Williams,placed on IL
3241,1999-02-04,Raptors,, Negele Knight,placed on IL with sprained right ankle
3242,1999-02-04,Rockets,, Antoine Carr,placed on IL with surgery on right knee (out 4-6 weeks)
3243,1999-02-04,Rockets,, Rodrick Rhodes,placed on IR with torn right pectoral tendon in chest (out 6-8 weeks)
3244,1999-02-04,Sonics,, Drew Barry,placed on IL
3245,1999-02-04,Suns,, Horacio Llamas,placed on IL with bruised right foot
3246,1999-02-04,Bulls,, Jeff Sanders,placed on IL
3247,1999-02-09,76ers,, Scott Williams,placed on IR with stress fractures in both legs
3248,1999-02-10,Knicks,, Latrell Sprewell,placed on IR with stress fracture in right heel
3249,1999-02-10,Magic,, Derek Strong,placed on IL with bruised right foot
3251,1999-02-13,Sonics,, Billy Owens,placed on IR with fractured left pinky finger
3253,1999-02-14,Heat,, Jamal Mashburn,placed on IR with deep thigh bruise (out 2 weeks)
3255,1999-02-16,76ers,, Anthony Parker,placed on IL with fractured bone in left foot
3257,1999-02-16,Nets,, Lucious Harris,placed on IR with bulding disc in lower back
3259,1999-02-17,Bucks,, Jerald Honeycutt,placed on IR with left calf strain
3261,1999-02-17,Celtics,, Marlon Garnett,placed on IL with sprained right ankle
3262,1999-02-17,Lakers,, Sam Jacobson,placed on IL with fractured left ring finger
3263,1999-02-17,Magic,, Gerald Wilkins,placed on IL with left Achilles tendinitis
3264,1999-02-17,Magic,, Miles Simon,placed on IL with left knee patella tendinitis
3265,1999-02-17,Rockets,, Charles Barkley,placed on IL with surgery on left knee
3266,1999-02-17,Spurs,, Will Perdue,placed on IL with sprained right ankle
3267,1999-02-18,Cavaliers,, Zydrunas Ilgauskas,placed on IR with fractured navicular bone in left foot (out for season)
