,Date,Team,Acquired,Relinquished,Notes
140,1979-10-08,Cavaliers,, Butch Lee,placed on IL
141,1979-10-08,Cavaliers,, Elmore Smith,placed on IL
142,1979-10-10,Jazz,, Carl Kilpatrick,placed on IL with surgery on right knee
143,1979-10-10,Spurs,, Sylvester Norris,placed on IL
144,1979-10-10,Suns,, Bayard Forrest,placed on IL
145,1979-10-11,76ers,, Clint Richardson,placed on IL
146,1979-10-11,Blazers,, Dave Twardzik,placed on IL
147,1979-10-11,Blazers,, Maurice Lucas,placed on IL
148,1979-10-11,Blazers,, Mychal Thompson,placed on IL with fractured left leg
149,1979-10-11,Bullets,, Mitch Kupchak,placed on IL
150,1979-10-11,Bullets,, Steve Malovic,placed on IL
151,1979-10-11,Cavaliers,, Clarence Walker / Foots Walker,placed on IL
152,1979-10-11,Knicks,, Earl Monroe,placed on IL with right hip inflammation
153,1979-10-11,Knicks,, Marvin Webster,placed on IL with right knee tendinitis
154,1979-10-11,Nets,, Bob Elliott,placed on IL
155,1979-10-11,Pacers,, John Kuester,placed on IL
156,1979-10-11,Pacers,, Len Elmore,placed on IL
157,1979-10-11,Pistons,, Earl Evans,placed on IL with sprained right ankle
158,1979-10-11,Rockets,, Allen Leavell,placed on IL
159,1979-10-11,Rockets,, Paul Mokeski,placed on IL
160,1979-10-11,Warriors,, Phil Smith,placed on IL
161,1979-10-24,Nets,, Cliff Robinson,placed on IL
166,1979-11-11,Jazz,, Bernard King,placed on IL with sprained left ankle
168,1979-11-21,Kings,, Mike Green,placed on IL
173,1979-12-04,Pistons,, Greg Kelser,placed on IL
176,1979-12-07,Rockets,, Tom Henderson,placed on IL
178,1979-12-15,Warriors,, Tom Abernethy,placed on IL
180,1979-12-21,Hawks,, Ron Lee,placed on IL
184,1980-01-22,Cavaliers,, Michael Russell / Campy Russell,placed on IL with knee injury
186,1980-01-30,Clippers,, Steve Malovic,placed on IL
187,1980-02-22,Spurs,, Wiley Peck,placed on IL
188,1980-02-28,Nuggets,, David Thompson (O'Neil),placed on IL
189,1980-03-05,Knicks,, Sylvester Williams / Sly Williams,placed on IL
191,1980-03-05,Pistons,, Bob McAdoo,placed on IL
192,1980-03-05,Pistons,, Kent Benson,placed on IL
194,1980-03-14,Pistons,, Earl Evans,placed on IL
196,1980-03-22,Jazz,, Adrian Dantley,placed on IL
197,1980-10-08,Clippers,, Bill Walton,placed on IL with foot inujry
198,1980-10-08,Kings,, Mel Bennett,placed on IL
199,1980-10-08,Nuggets,, James Ray (b),placed on IL
200,1980-10-08,Pistons,, Bob McAdoo,placed on IL
201,1980-10-08,Suns,, Don Buse,placed on IL
202,1980-10-09,76ers,, Andrew Toney,placed on IL with sprained ankle
203,1980-10-09,Blazers,, Dave Twardzik,placed on IL
204,1980-10-09,Blazers,, Larry Steele,placed on IL
205,1980-10-09,Bulls,, Ronnie Lester,placed on IL
206,1980-10-09,Hawks,, Tom Burleson,placed on IL with fractured wrist
207,1980-10-09,Hawks,, Wayne Rollins / Tree Rollins,placed on IL
208,1980-10-09,Knicks,, Hollis Copeland,placed on IL with sprained left knee
209,1980-10-09,Knicks,, Toby Knight,placed on IL with torn ACL in left knee
210,1980-10-09,Lakers,, Myles Patrick,placed on IL
211,1980-10-09,Lakers,, Tony Jackson,placed on IL
213,1980-11-03,Bulls,, Ronnie Lester,placed on IL
214,1980-11-05,Lakers,, Clarence Carter / Butch Carter,placed on IL
216,1980-11-06,Bullets,, John Williamson,placed on IL
217,1980-11-07,Hawks,, Wayne Rollins / Tree Rollins,placed on IL
219,1980-11-10,Jazz,, John Duren,placed on IL with surgery on right knee
222,1980-11-21,76ers,, Doug Collins,placed on IL recovering from surgery on left knee
224,1980-12-05,Celtics,, M.L. Carr,placed on IL
225,1980-12-05,Pistons,, John Long,placed on IL
226,1980-12-09,Rockets,, Calvin Garrett,placed on IL
228,1980-12-10,Nuggets,, James Ray (b),placed on IL
229,1980-12-10,Nuggets,, John Roche,placed on IL
230,1980-12-16,Bullets,, Bob Dandridge,placed on IL with unknown injury (date approximate)
231,1980-12-18,Pistons,, Greg Kelser,placed on IL
234,1980-12-21,Pistons,, John Long,placed on IL with knee injury
